"Дата"	"Сумма"	"Валюта"	"Счет"	"Статья"	"Группа статей"	"Комментарий"
"2026.02.18"	-24194		"Мои деньги"	"Транспорт"	""	"Билеты самолет Турция"
"2026.02.18"	-1461		"Мои деньги"	"Еда"	""	""
"2026.02.18"	-804		"Мои деньги"	"Еда"	""	""
"2026.02.18"	-7511		"Мои деньги"	"Продукты"	""	""
"2026.02.17"	-2585		"Мои деньги"	"Еда"	""	""
"2026.02.16"	-390		"Мои деньги"	"Досуг"	""	""
"2026.02.16"	-1220		"Мои деньги"	"Досуг"	""	""
"2026.02.16"	-4900		"Мои деньги"	"Досуг"	""	""
"2026.02.16"	-1261		"Мои деньги"	"Еда"	""	""
"2026.02.16"	-2220		"Мои деньги"	"Досуг"	""	""
"2026.02.15"	-1040		"Мои деньги"	"Еда"	""	""
"2026.02.15"	-1375		"Мои деньги"	"Транспорт"	""	"Такси"
"2026.02.15"	-2969		"Мои деньги"	"Одежда"	""	"Футболка"
"2026.02.15"	-2528		"Мои деньги"	"Одежда"	""	"Кепка"
"2026.02.15"	-6990		"Мои деньги"	"Техника"	""	"Фен"
"2026.02.15"	-1124		"Мои деньги"	"Еда"	""	""
"2026.02.15"	-1445		"Мои деньги"	"Связь и подписки"	""	""
"2026.02.15"	-10000		"Мои деньги"	"Еда"	""	""
"2026.02.14"	-799		"Мои деньги"	"Досуг"	""	""
"2026.02.14"	-1375		"Мои деньги"	"Еда"	""	""
"2026.02.14"	-1190		"Мои деньги"	"Здоровье"	""	"Капли глазные"
"2026.02.14"	-800		"Мои деньги"	"Досуг"	""	""
"2026.02.14"	-1124		"Мои деньги"	"Еда"	""	""
"2026.02.13"	-1000		"Мои деньги"	"Транспорт"	""	"Такси"
"2026.02.13"	-1356		"Мои деньги"	"Еда"	""	""
"2026.02.13"	-1100		"Мои деньги"	"Транспорт"	""	"Такси"
"2026.02.12"	-1420		"Мои деньги"	"Спорт"	""	"Корт"
"2026.02.12"	-818		"Мои деньги"	"Еда"	""	""
"2026.02.12"	-1300		"Мои деньги"	"Еда"	""	""
"2026.02.12"	-790		"Мои деньги"	"Досуг"	""	""
"2026.02.11"	-949		"Мои деньги"	"Еда"	""	""
"2026.02.11"	-888		"Мои деньги"	"Продукты"	""	""
"2026.02.10"	-1800		"Мои деньги"	"Спорт"	""	"Корт"
"2026.02.10"	-1072		"Мои деньги"	"Еда"	""	""
"2026.02.10"	-949		"Мои деньги"	"Еда"	""	""
"2026.02.10"	-5981		"Мои деньги"	"Здоровье"	""	"Магний"
"2026.02.10"	-1018		"Мои деньги"	"Еда"	""	""
"2026.02.09"	-932		"Мои деньги"	"Еда"	""	""
"2026.02.09"	-1028		"Мои деньги"	"Еда"	""	""
"2026.02.09"	-160		"Мои деньги"	"Досуг"	""	""
"2026.02.09"	-1397		"Мои деньги"	"Еда"	""	""
"2026.02.09"	-4495		"Мои деньги"	"Дом"	""	""
"2026.02.07"	-2250		"Мои деньги"	"Спорт"	""	"Корт"
"2026.02.07"	-400		"Мои деньги"	"Еда"	""	""
"2026.02.07"	-1420		"Мои деньги"	"Еда"	""	""
"2026.02.06"	-3300		"Мои деньги"	"Спорт"	""	"Корт"
"2026.02.06"	-430		"Мои деньги"	"Досуг"	""	""
"2026.02.06"	-198		"Мои деньги"	"Продукты"	""	""
"2026.02.05"	-999		"Мои деньги"	"Связь и подписки"	""	"Етель"
"2026.02.05"	-219		"Мои деньги"	"Продукты"	""	""
"2026.02.04"	-12134		"Мои деньги"	"Коммуналка"	""	""
"2026.02.04"	-3197		"Мои деньги"	"Здоровье"	""	""
"2026.02.04"	-2281		"Мои деньги"	"Еда"	""	""
"2026.02.04"	-2218		"Мои деньги"	"Еда"	""	""
"2026.02.04"	-2133		"Мои деньги"	"Еда"	""	""
"2026.02.04"	-1375		"Мои деньги"	"Еда"	""	""
"2026.02.04"	-1345		"Мои деньги"	"Еда"	""	""
"2026.02.04"	-1167		"Мои деньги"	"Еда"	""	""
"2026.02.04"	-959		"Мои деньги"	"Здоровье"	""	""
"2026.02.04"	-950		"Мои деньги"	"Еда"	""	""
"2026.02.04"	-730		"Мои деньги"	"Здоровье"	""	""
"2026.02.04"	-70		"Мои деньги"	"Продукты"	""	""
"2026.02.04"	-3653		"Мои деньги"	"Продукты"	""	""
"2026.02.04"	-877		"Мои деньги"	"Еда"	""	""
"2026.02.04"	-1709		"Мои деньги"	"Еда"	""	""
"2026.02.04"	-1090		"Мои деньги"	"Еда"	""	""
"2026.02.01"	-2000		"Мои деньги"	"Досуг"	""	""
"2026.02.01"	-2900		"Мои деньги"	"Досуг"	""	""
"2026.02.01"	-2000		"Мои деньги"	"Досуг"	""	""
"2026.02.01"	-3323		"Мои деньги"	"Еда"	""	""
"2026.01.30"	-8000		"Мои деньги"	"Спорт"	""	"Тренировка"
"2026.01.30"	-1160		"Мои деньги"	"Транспорт"	""	"Такси"
"2026.01.29"	-2000		"Мои деньги"	"Досуг"	""	""
"2026.01.29"	-950		"Мои деньги"	"Еда"	""	""
"2026.01.28"	-5060		"Мои деньги"	"Досуг"	""	"Боулинг"
"2026.01.28"	-800		"Мои деньги"	"Транспорт"	""	"Такси"
"2026.01.28"	-500		"Мои деньги"	"Транспорт"	""	""
"2026.01.28"	-2240		"Мои деньги"	"Еда"	""	""
"2026.01.27"	-800		"Мои деньги"	"Досуг"	""	""
"2026.01.27"	-1500		"Мои деньги"	"Транспорт"	""	""
"2026.01.27"	-4000		"Мои деньги"	"Еда"	""	""
"2026.01.26"	-1000		"Мои деньги"	"Досуг"	""	""
"2026.01.26"	-1100		"Мои деньги"	"Досуг"	""	""
"2026.01.26"	-2500		"Мои деньги"	"Спорт"	""	"Турнир"
"2026.01.26"	-6000		"Мои деньги"	"Продукты"	""	""
"2026.01.26"	-350		"Мои деньги"	"Транспорт"	""	""
"2026.01.26"	-900		"Мои деньги"	"Транспорт"	""	"Такси"
"2026.01.25"	-8123		"Мои деньги"	"Подарки"	""	"Бабе"
"2026.01.25"	-3100		"Мои деньги"	"Транспорт"	""	"Такси"
"2026.01.25"	-2900		"Мои деньги"	"Транспорт"	""	"Такси"
"2026.01.24"	-12600		"Мои деньги"	"Дом"	""	"Клининг"
"2026.01.24"	-1350		"Мои деньги"	"Еда"	""	""
"2026.01.24"	-4331		"Мои деньги"	"Продукты"	""	""
"2026.01.24"	-600		"Мои деньги"	"Спорт"	""	"Турнир"
"2026.01.23"	-8000		"Мои деньги"	"Спорт"	""	"Тренировка"
"2026.01.23"	-1720		"Мои деньги"	"Еда"	""	""
"2026.01.23"	-100		"Мои деньги"	"Продукты"	""	""
"2026.01.23"	-3000		"Мои деньги"	"Спорт"	""	"Турнир"
"2026.01.23"	-270		"Мои деньги"	"Досуг"	""	""
"2026.01.23"	-900		"Мои деньги"	"Транспорт"	""	"Такси"
"2026.01.23"	-700		"Мои деньги"	"Транспорт"	""	"Такси"
"2026.01.23"	-519		"Мои деньги"	"Продукты"	""	""
"2026.01.23"	-103500		"Мои деньги"	"Дом"	""	"Кресло"
"2026.01.22"	-1345		"Мои деньги"	"Еда"	""	""
"2026.01.21"	-270		"Мои деньги"	"Досуг"	""	""
"2026.01.21"	-6480		"Мои деньги"	"Здоровье"	""	"Линзы"
"2026.01.21"	-600		"Мои деньги"	"Спорт"	""	"Турнир"
"2026.01.20"	-2500		"Мои деньги"	"Спорт"	""	"Турнир"
"2026.01.20"	-779		"Мои деньги"	"Продукты"	""	""
"2026.01.19"	-76192		"Мои деньги"	"Жилье"	""	""
"2026.01.19"	-1350		"Мои деньги"	"Еда"	""	""
"2026.01.19"	-1930		"Мои деньги"	"Досуг"	""	""
"2026.01.19"	-6830		"Мои деньги"	"Здоровье"	""	""
"2026.01.18"	-1720		"Мои деньги"	"Еда"	""	""
"2026.01.18"	-180		"Мои деньги"	"Досуг"	""	""
"2026.01.18"	-1345		"Мои деньги"	"Еда"	""	""
"2026.01.17"	-2750		"Мои деньги"	"Спорт"	""	"Корт"
"2026.01.17"	-6600		"Мои деньги"	"Спорт"	""	"Тренировка"
"2026.01.17"	-1720		"Мои деньги"	"Еда"	""	""
"2026.01.16"	-100		"Мои деньги"	"Еда"	""	""
"2026.01.16"	-3600		"Мои деньги"	"Спорт"	""	"Турнир"
"2026.01.16"	-8000		"Мои деньги"	"Спорт"	""	"Тренировка фил"
"2026.01.16"	-900		"Мои деньги"	"Транспорт"	""	""
"2026.01.15"	-1460		"Мои деньги"	"Продукты"	""	""
"2026.01.15"	-1000		"Мои деньги"	"Транспорт"	""	"Такси"
"2026.01.15"	-2713		"Мои деньги"	"Продукты"	""	""
"2026.01.15"	-1787		"Мои деньги"	"Еда"	""	""
"2026.01.13"	-260		"Мои деньги"	"Продукты"	""	""
"2026.01.13"	-1703		"Мои деньги"	"Еда"	""	""
"2026.01.13"	-20000		"Мои деньги"	"Досуг"	""	""
"2026.01.11"	-1329		"Мои деньги"	"Еда"	""	""
"2026.01.11"	-2254		"Мои деньги"	"Еда"	""	""
"2026.01.11"	-1720		"Мои деньги"	"Еда"	""	""
"2026.01.09"	-808		"Мои деньги"	"Продукты"	""	""
"2026.01.09"	-4000		"Мои деньги"	"Спорт"	""	"Тренировка"
"2026.01.09"	-767		"Мои деньги"	"Продукты"	""	""
"2026.01.09"	-1310		"Мои деньги"	"Еда"	""	""
"2026.01.08"	-2920		"Мои деньги"	"Еда"	""	""
"2026.01.08"	-281		"Мои деньги"	"Продукты"	""	""
"2026.01.06"	-2250		"Мои деньги"	"Спорт"	""	"Корт"
"2026.01.06"	-1620		"Мои деньги"	"Еда"	""	""
"2026.01.06"	-1918		"Мои деньги"	"Еда"	""	""
"2026.01.06"	-880		"Мои деньги"	"Еда"	""	""
"2026.01.06"	-523		"Мои деньги"	"Транспорт"	""	""
"2026.01.05"	-100		"Мои деньги"	"Транспорт"	""	""
"2026.01.05"	-3100		"Мои деньги"	"Досуг"	""	""
